"Nomart,Inc.",osaka,art,"NOMART(ノマル)の語源はNomade(遊牧民)＋Art(美術)の造語です｡何ものにもとらわれず自由に､どこにでも､という思いから｡
創立の1989年から､そしてこれからも変わらず､ノマルは独自の道を歩み続けていきます｡",https://www.nomart.co.jp/
Meditations,kyoto,music,京都のレコード・CDの通販サイト。サイケデリックロックやミニマル・ドローンミュージック、インド音楽や実験映像アニメーションDVDまで、非メインストリームでサイケデリックな音楽を中心に取り揃えております。,https://www.meditations.jp/
"外 soto",kyoto,venue,"「外」はバンド・空間現代によるスタジオ／ライブハウスです。
新たな、まだ見ぬ音楽の可能性を追求する場所です。
",http://soto-kyoto.jp/
"the three konohana",osaka,art,"次代の私たちの現代美術のあり方を考え、再構築していくために必要な諸要素を、新たなプラットフォームに 置き換えて実践する、大阪市此花区に開いたギャラリースペースです。展覧会を中心に、現代美術に特化した各種企画を進めてまいります。",http://thethree.net/
Ｏギャラリーeyes,osaka,art,"1999年、東京都・銀座の「Oギャラリー」ディレクターの大野博子（O Gallery co., ltd.代表）が大阪市北区にオープン。
若手からベテラン作家まで、様々なテーマで絵画作品を中心に紹介し、オープン当初からこれまで開催したグループ展の企画は60本を超える。その他、美術品販売、展覧会のコーディネーター、スーパーバイザーなどを務めてきた。",http://www2.osk.3web.ne.jp/~oeyes/
"Homie Marine Club",kanto,curture,"2014年からは湘南にHomie Marine Clubを設立し、マリンスポーツ・レジャーを通してより健全な育成及び更生を促す提案を開始いたしました。こうしてより明確な場所を作ったことによって、より多くの子供たちを受け入れられるようになりました。",http://homie-marine.com/
2x2x2,tokyo,art,imlaborは2017年に設立されたアーティストコレクティブで、新興アーティストが参加する展示会を開催しています。2x2x2は2020年3月からオープンし、imlaborが運営する東京にあるプロジェクトスペースです。,https://imlabor.org/
屋上,tokyo,curture,"この後、この場所がどう変わっていくかはわからない。
今のわたしたちだけで運営していても面白くないので、もっと多くの人を内側にも外側にも巻き込んで色々なことをやっていきたいし、店内の造作もまだまだ作り変えていきたい。もしかしたらもう一年後には、今とは全然違う場所になっているのかもしれない。",https://okujoh.space/
"MAGASINN KYOTO（マガザンキョウト）",kyoto,curture,"触って、使って、泊まって、買える。 五感をフルに使ってカルチャーを体験できる空間",https://www.magasinn.xyz/
"○間 – 時間を愉しむ日本茶空間",kyoto,curture,東寺すぐそばにある現代日本文化茶論(サロン),https://0ma.jp/
nowhere,chubu,venue,"富山市にある白い壁のカフェです。
国内外の世界的音楽家のコンサートを定期的に開催。ＣＤや雑貨も取り扱っています。",http://nowhere-else.info/
Lykkelig（リュケリ）,chubu,curture,"金沢の音楽と雑貨の店。
そこにあるだけで幸せな気持ちにさせてくれる雑貨や音楽を見つけに来てください。",http://www.lykkelig.jp/
"TALION GALLERY",tokyo,art,"文化的生産の原理と中心を絶えず仮構することが、ギャラリーが美術において果たすべき役割であり、延いては社会状況において美術が果たすべき役割であると考えます。このような意味において、TALION GALLERYは新たな文化の起点であり、あらゆる嘆きが切実でおおらかな願いへとかわるような、創造性の核心でありたいと思います。",https://taliongallery.com/
JIKAN＜space＞,osaka,venue,"感覚の拡張と交流の場。
アート、デザイン、音楽、食など、さまざまなジャンルにおいて
これからのクリエイティブを創造・発信するための場として、スペースをお貸ししています。",http://jikan.tv/space
"space dike（スペース・ダイク）",tokyo,art,私たちが出来る範囲で、制作活動をしているアーティストが「これからも表現を続けていこう」と思えるように、作品を発表する機会を提供します。そして、来場者がアーティストや作品、他の来場者と出会うことによって、新たな気付きを得られる場所を作っていきます。,https://spacedike.blogspot.com/
4649,tokyo,art,4649（フォーシックスフォーナイン）は2018年、東京・巣鴨にオープンしたギャラリースペース。4649はアーティストの小林優平、清水将吾、高見澤ゆうによるプロジェクトの名称でもあり、巣鴨のスペースでは、3人のディレクターのアーティストとしての関心に基づいたキュレーションによる、海外のスペースとのエクスチェンジプロジェクトなどを開催。海外の若手作家を日本へ紹介することを目標にしている。,http://4-6-4-9.jp/
"XYZ collective",tokyo,art,COBRA（ビデオアーティスト）、松原壮志朗（現代美術作家）、ミヤギフトシ（アーティスト）の3人がディレクターを務めるアーティスト・ラン・スペース,http://xyzcollective.org/
"MISAKO & ROSEN",tokyo,art,東京、大塚にある現代美術のギャラリー,https://www.misakoandrosen.jp/
NADiff,tokyo,art,"アートブック、展覧会カタログ、グッズ 、エディション／マルチプルなどを取り扱うアートショップ&ギャラリー",http://www.nadiff.com/
"ユトレヒト / Utrecht",tokyo,book,一般書店では目にすることの少ない、国内外のアート、デザイン、ファッション関連書籍を中心に取り扱っています。作家・アーティストが自ら制作・発行したもの、デザインの変わったもの、少部数のものなど、作り手の顔がみえるような書籍を販売しています。並べた本と本の関係性やそれぞれの個性が見て取れるようなディスプレイを大切にし、お客さまがお店に来て本を手に取ることで、その繋がりがゆるやかに広がる、そのような場所を目指しています。,https://utrecht.jp/
"CORNER PRINTING KG",tokyo,art,KG（キログラム）はCORNERPRINTINGが運営するギャラリーです。,https://www.kg-cornerprinting.com/
"CLEAR GALLERY",tokyo,art,現代アートとコレクティブデザインを提案する場として、中牟田洋一により2007年東京に設立。オープン以来、国内外のアーティストにとって、実験的で革新的な作品を披露するための場所としての地位を確立している。,https://cleargallerytokyo.com/
"ARTCOURT Gallery",osaka,art,"「美を見極めて、世界に繋ぐ」
アートコートギャラリーは2003年に大阪に開廊して以来、日本の現代美術を世界に向けて発信しています。",https://www.artcourtgallery.com/
千鳥文化,osaka,curture,千鳥文化は食堂・商店・バー・ギャラリー・ホールなどが混在する大阪／北加賀屋の街の文化複合施設として、築60年ほどの文化住宅をリノベーションして作られました。「アートの街」北加賀屋の発信基地として、2017年夏にオープン致しました。,http://www.chidoribunka.jp/
汽水空港,chugoku,book,"new/old book store.
「世界に幅と揺らぎ在れ。」",https://www.kisuikuko.com/
"tobira records",kansai,music,"音楽は見えないものですが、フィジカルで聴く音楽は不思議と記憶に焼きつきます。
そんな音楽の魅力を伝えたく、サブスクリプションが盛り上がっている中ですが、レコード屋を開店しました。",https://tobirarecords.com/
＋１art,osaka,art,現代アートギャラリー。日常という型枠を少し拡張できるかも？,http://www.plus1art.jp/
四谷未確認スタジオ,tokyo,art,"アーティスト主導で運営される制作、発表、交流の３つの機能を併せもつ複合施設です。 ３つの機能が連動する仕組みをつくり、日本美術に根付いた価値、市場、場所を再編していくことを目指します。",http://yotsuyamikakuninstudio.com/
"LVDB BOOKS",osaka,book,"LVDB BOOKSは大阪・東住吉区の書店＋ギャラリーです。",https://lvdbbooks.tumblr.com/
POST,tokyo,book,POSTは定期的に扱っている本が全て入れ代わる新しいブックショップです。出版社という括りで本を特集し、普段書店では見えにくい「出版社」の世界観も感じながら本を見てもらえるスペースです。,http://www.post-books.jp/
"TANA Gallery Bookshelf",tokyo,art,"新しい社会関係には新しい空間が必要であり、その逆もまた然りである。*1

私たちはフランスの都市哲学者アンリ・ルフェーブルのこの言葉に対するひとつのマイクロ・アーキテクチャルな回答としてこのギャラリーを設立しました。",http://tanagallerybookshelf.com/
